accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
2,1,1,1,1,1,"52,37","4,90",2,"13,00","1,14",0,1,0,0,Low
2,1,1,1,2,1,"52,38","4,89",4,"15,00","0,92",0,0,1,0,Low
2,2,1,1,1,1,"52,36","4,86",1,"0,00","2,98",0,0,1,0,Low
2,1,1,1,1,1,"52,36","4,86",1,"5,00","3,62",0,1,0,0,Low
5,1,3,3,4,3,"52,37","4,86",2,"1,00","2,71",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,36","4,93",2,"6,00","3,14",0,1,0,0,Low
2,1,1,7,1,7,"52,38","4,87",3,"1,00","1,76",0,0,1,0,Low
2,2,1,2,1,2,"52,37","4,92",2,"61,00","1,65",1,0,1,0,Low
2,1,0,1,1,1,"52,38","4,87",2,"4,00","2,03",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,86",4,"3,00","2,94",0,1,0,0,Low
2,2,1,1,1,1,"52,36","4,94",3,"2,00","3,27",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,86",2,"5,00","2,84",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,92",1,"0,00","2,49",0,0,1,0,Low
2,1,1,1,1,1,"52,38","4,88",2,"107,00","1,10",0,0,1,0,Low
3,1,1,1,1,1,"52,32","4,95",1,"25,00","7,56",0,0,1,0,Low
2,1,1,1,1,1,"52,39","4,96",1,"3,00","4,40",0,0,1,0,Low
2,1,2,1,1,1,"52,36","4,86",1,"0,00","3,50",0,1,0,0,Low
4,1,2,1,2,1,"52,36","4,92",3,"4,00","2,89",0,1,0,0,Low
4,1,2,1,2,1,"52,38","4,86",2,"1,00","2,77",1,1,0,0,Low
4,1,1,4,2,4,"52,33","4,95",2,"0,00","6,78",1,0,1,0,Mid-High
2,1,1,1,1,1,"52,34","4,91",2,"5,00","4,35",0,1,0,0,Low
2,1,1,1,2,1,"52,35","4,92",2,"35,00","3,12",0,0,1,0,Low
1,1,1,1,1,1,"52,36","4,93",3,"64,00","2,65",0,0,1,0,Low
4,1,1,1,2,1,"52,33","4,90",2,"7,00","5,19",0,0,1,0,Low
2,2,2,1,1,1,"52,36","4,93",3,"17,00","2,73",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,90",2,"132,00","1,38",0,0,1,0,Low
2,1,1,1,1,1,"52,35","4,85",2,"20,00","5,05",0,1,0,0,Low
4,1,1,1,2,1,"52,39","4,88",2,"1,00","1,67",0,1,0,0,Low
4,2,2,1,2,1,"52,36","4,90",2,"21,00","2,46",0,1,0,0,Mid-High
6,1,4,1,1,1,"52,35","4,85",1,"0,00","4,77",0,1,0,0,Mid-High
2,1,1,31,1,34,"52,36","4,90",2,"8,00","2,57",1,1,0,0,Low
2,1,1,15,1,16,"52,38","4,88",2,"0,00","1,14",1,1,0,0,Low
4,1,1,1,2,1,"52,37","4,94",25,"4,00","3,10",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,90",3,"30,00","2,62",1,1,0,0,Low
3,1,2,1,2,1,"52,38","4,85",3,"4,00","3,09",0,1,0,0,Low
4,3,2,8,1,10,"52,37","4,90",7,"0,00","0,69",0,1,0,0,Mid-High
4,1,3,1,1,2,"52,37","4,95",2,"16,00","3,36",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,38","4,89",1,"12,00","0,57",0,0,1,0,Low
2,2,1,1,2,1,"52,38","4,88",3,"391,00","0,98",0,0,1,0,Low
2,1,2,1,1,1,"52,40","4,94",2,"0,00","3,57",0,1,0,0,Low
2,1,1,1,1,1,"52,38","4,85",2,"2,00","3,14",0,1,0,0,Low
2,1,0,1,1,1,"52,38","4,88",3,"124,00","1,31",0,0,1,0,Low
3,1,1,1,2,1,"52,36","4,92",3,"6,00","2,73",0,1,0,0,Low
2,1,1,1,2,1,"52,37","4,93",2,"70,00","2,52",0,0,1,0,Low
2,1,1,1,2,1,"52,38","4,85",2,"26,00","3,53",0,1,0,0,Low
4,1,2,1,1,1,"52,38","4,88",2,"27,00","1,56",0,1,0,0,Mid-High
6,1,2,2,5,2,"52,36","4,84",2,"1,00","4,46",0,1,0,0,Mid-High
4,1,2,2,2,2,"52,37","4,90",3,"21,00","0,74",0,1,0,0,Highest
5,2,4,1,2,1,"52,37","4,87",1,"12,00","2,44",0,1,0,0,Mid-High
4,3,3,1,1,1,"52,37","4,88",4,"1,00","2,16",0,1,0,0,Mid-High
6,1,3,1,4,1,"52,41","4,90",2,"27,00","2,89",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,37","4,86",2,"0,00","2,93",1,1,0,0,Mid-High
16,2,3,5,8,5,"52,39","4,91",2,"82,00","1,84",1,1,0,0,Highest
7,2,4,1,1,1,"52,37","4,87",2,"20,00","2,13",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,38","4,89",1,"95,00","0,55",0,0,1,0,Mid-High
4,1,3,1,2,1,"52,35","4,89",2,"0,00","3,55",0,1,0,0,Mid-High
6,3,4,5,6,5,"52,38","4,94",7,"34,00","2,76",1,1,0,0,Highest
4,2,2,7,1,9,"52,37","4,90",3,"0,00","0,78",1,1,0,0,Mid-High
6,1,3,1,1,1,"52,36","4,89",1,"3,00","2,62",0,1,0,0,Mid-High
5,2,2,1,4,1,"52,37","4,89",3,"31,00","1,28",0,1,0,0,Mid-High
4,1,2,1,4,3,"52,37","4,88",2,"0,00","1,42",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,37","4,89",3,"0,00","1,30",0,1,0,0,Highest
4,1,3,1,4,1,"52,35","4,90",2,"55,00","2,80",1,1,0,0,Mid-High
5,2,2,3,4,3,"52,36","4,87",8,"6,00","2,42",0,1,0,0,Highest
5,2,3,2,1,2,"52,38","4,89",2,"19,00","0,81",0,1,0,0,Mid-High
2,1,2,1,2,1,"52,35","4,90",2,"114,00","2,85",0,0,1,0,Mid-High
6,1,3,8,1,8,"52,37","4,90",3,"1,00","0,70",0,1,0,0,Highest
6,1,3,1,3,1,"52,37","4,90",2,"1,00","0,61",1,1,0,0,Mid-High
4,1,2,1,1,1,"52,38","4,89",3,"15,00","0,52",0,1,0,0,Mid-High
4,2,3,2,1,2,"52,37","4,89",2,"0,00","0,98",1,1,0,0,Highest
4,2,3,1,2,1,"52,36","4,87",2,"0,00","3,03",0,1,0,0,Highest
4,1,2,4,4,4,"52,36","4,89",2,"14,00","1,94",0,1,0,0,Highest
6,3,3,4,1,4,"52,39","4,91",3,"0,00","0,97",1,1,0,0,Mid-High
5,2,4,1,1,2,"52,38","4,89",2,"28,00","0,40",0,1,0,0,Highest
4,1,2,1,1,1,"52,37","4,89",2,"1,00","1,15",0,1,0,0,Mid-High
5,1,2,1,1,1,"52,35","4,90",2,"10,00","3,04",0,1,0,0,Mid-High
4,2,3,1,4,1,"52,37","4,88",3,"22,00","1,84",0,1,0,0,Mid-High
4,1,2,91,1,103,"52,37","4,88",2,"0,00","1,45",1,1,0,0,Mid-High
4,1,2,2,1,2,"52,35","4,87",2,"0,00","3,92",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,37","4,85",2,"40,00","3,48",0,1,0,0,Mid-High
2,1,1,4,1,4,"52,37","4,90",1,"1,00","0,87",1,0,1,0,Mid-High
4,3,3,1,4,1,"52,39","4,89",7,"0,00","1,11",0,1,0,0,Mid-High
